Book series,Author(s),Original language,No. of installments,Years of Publication,Approximate sales
The Destroyer,"Warren Murphy and Richard Sapir, various authors",English,150,1971–present,30 million[275]
地球往事 (Remembrance of Earth's Past),Liu Cixin,Chinese,3,2008–2010,29 million[276]
三毛猫ホームズシリーズ [ja] (Calico Cat Holmes series),Jirō Akagawa,Japanese,43,1978–present,28 million[277]
Curious George,Hans Augusto Rey and Margret Rey,English,58,1941–present,27 million[278]
Shannara,Terry Brooks,English,20,1977–present,26 million[279]
Kurt Wallander,Henning Mankell,Swedish,10,1991–2002,25 million[280]
Sagan om Isfolket (The Legend of the Ice People),Margit Sandemo,Swedish,47,1982–1989,25 million[281]
The Sword of Truth,Terry Goodkind,English,21,1998–present,25 million[282]
Outlander,Diana Gabaldon,English,8,1991–present,25 million[283]
ズッコケ三人組 [ja] (Zukkoke Sanningumi),Masamoto Nasu,Japanese,50,1978–2004,25 million[284]
鬼平犯科帳 (Onihei Hankachō),Shōtarō Ikenami,Japanese,24,1968–1990,"24.4 million, only bunkobon[285]"
Brain Quest,Various authors,English,,1992–present,23.7 million[286]
South Beach Diet,Arthur Agatston,English,6,2003–present,22 million[287]
ソードアート・オンライン (Sword Art Online),Reki Kawahara,Japanese,27,2009–present,30 million[288]
竜馬がゆく [ja] (Ryoma ga Yuku),Ryōtarō Shiba,Japanese,5,1963–1966,21.5 million[289]
Artemis Fowl,Eoin Colfer,English,8 + 1 companion book,2001–2012,21 million[290]
The Cosmere,Brandon Sanderson,English,30+[291],2005–present,21 Million [292]
Dune series,Frank Herbert,English,30+,1965,20 million[121]
I Survived,Lauren Tarshis,English,25,2010–2020,more than 20 million[293][294]
Découvertes Gallimard,Various authors,French,more than 700,1986–present,more than 20 million[295][296]
Redwall,Brian Jacques,English,22,1986–2011,20 million[297]
Maisy,Lucy Cousins,English,23,1990–present,20 million[135]
Dragonlance,Various authors,English,more than 150,1984–present,20 million[298]
幻魔大戦 (Genma Taisen),Kazumasa Hirai,Japanese,20,1979–1983,20 million[299]
青春の門 (The Gate of Youth),Hiroyuki Itsuki,Japanese,,1970–present,20 million[300]
スレイヤーズ (Slayers),Hajime Kanzaka,Japanese,50,1989–present,20 million[301]
The Foundation Trilogy,Isaac Asimov,English,3[302],1950–1953,20 million[303]
Horrible Histories,Terry Deary,English,24,1993–present,20 million[304]
Rainbow Magic,Daisy Meadows,English,80+,2003–present,20 million[305]
Morgan Kane,Louis Masterson,Norwegian,90,1966–,20 million[306]
The Southern Vampire Mysteries,Charlaine Harris,English,13,2001–2013,20 million[307]
Doc Savage,"Lester Dent, various authors",English,203,1933–present,20 million[308]
涼宮ハルヒシリーズ (Haruhi Suzumiya Series),Nagaru Tanigawa,Japanese,11,2003–present,20 million[309]
一億人の昭和史 (1-oku nin no Shōwa shi / Shōwa History of 100 million people),"Tomiyasu Takahara, Various authors",Japanese,95,1975-1980,19 million[310]
科学のアルバム (Kagaku no album / Science's Album),Various authors,Japanese,,1970–present,19 million[311]
剣客商売 (Kenkaku Shōbai),Shotaro Ikenami,Japanese,18,1972–1989,18 million[312]
Erast Fandorin series,Boris Akunin,Russian,12,1998–present,18 million[313]
Dragonriders of Pern,Anne McCaffrey,English,23,1967–present,18 million[314]
吸血鬼ハンターD (Vampire Hunter D),Hideyuki Kikuchi,Japanese,39,1983–present,17 million[315]
The Hitchhiker's Guide to the Galaxy,"Douglas Adams, plus a final book by Eoin Colfer",English,6,1979–2008,16 million[316][317]
ぼくらシリーズ [ja] (Bokura series),Osamu Soda,Japanese,36,1985–present,15 million[318]
Bridget Jones,Helen Fielding,English,3,1996–present,15 million[319]
His Dark Materials,Philip Pullman,English,3,1995–2000,15 million[320]
銀河英雄伝説 (Legend of the Galactic Heroes),Yoshiki Tanaka,Japanese,14,1982–1989,15 million[321]
The No. 1 Ladies Detective Agency,Alexander McCall Smith,English,23,1999–present,15 million[322]
Der Regenbogenfisch (Rainbow Fish),Marcus Pfister,German,,1992–present,15 million[323]
The Riftwar Cycle,Raymond E. Feist,English,25,1982–present,15 million[324]
The Thrawn trilogy,Timothy Zahn,English,3,1991–93,15 million[325]
Wiedźmin (The Witcher),Andrzej Sapkowski,Polish,9,1990–2013,15 million[326]
14ひきのシリーズ [ja] (The family of fourteen),Kazuo Iwamura [ja],Japanese,,1983-present,15 million[327]
